,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0053,137935,126406,392652,1658324,529303,186453,959993,116155,207969,18839,1327048,149464,129496,130228,206353,711827,1320815,1699834,192600,353326,15095,1664497,207053,632001,1313683,1152729,1052715,709198,1576228,627249,1667942,528496,342146,388727,959994,1699969,261198,14432,-1,14432,234799,391761,964100,1185664,234799,391761,964100,185947,390558,138883,707045,353316,1320677,1660349,170183,,,,,,,,,,,,,
0054,145983,134454,384230,1661933,520881,194501,951572,124203,199548,26887,1330657,157511,137544,138276,214400,715436,1324424,1703443,200647,356935,23142,1668106,198632,623580,1317292,1144307,1056324,712807,1579837,618828,1671551,520075,333725,380306,951573,1703578,252776,22480,-1,22480,242847,383339,955678,1189273,242847,383339,955678,177525,382137,130462,710654,356925,1324286,1663958,170544,,,,,,,,,,,,,
0055,262113,250585,529155,1780236,665806,310631,1032838,240333,371712,150107,1448961,273642,253674,254407,302456,833740,1442728,1774011,316778,427503,151524,1786410,370796,704847,1435595,1271530,1126893,831111,1698141,703612,1789855,664999,478650,525231,1032840,1774147,397701,152313,-1,152313,89423,528264,1036945,1307577,89423,528264,1036945,312483,527062,268946,828958,427494,1442589,1782261,177601,,,,,,,,,,,,,
0057,620430,632193,285961,1083633,108136,687485,353487,643507,511165,599814,751661,619411,628373,626968,707384,279019,746064,1336922,693631,445918,607513,1089806,521570,25495,738982,546222,689804,276438,1001537,17901,1093251,110937,392476,290246,353488,1337058,451938,601106,-1,601106,632559,291989,357593,752856,632559,291989,357593,447797,291201,488183,274237,445928,745926,1085658,133892,,,,,,,,,,,,,
0058,197909,209672,171581,1500000,339164,264963,769854,220986,88643,273547,1168028,196890,205852,204446,284863,704365,1162432,1762269,271110,457251,278516,1506173,99049,441862,1155350,962590,1115150,701784,1417905,437110,1509619,338357,97325,167657,769855,1762404,29417,274839,-1,274839,465747,166567,773961,1178203,465747,166567,773961,96477,165593,143111,699583,457241,1162294,1502025,176427,,,,,,,,,,,,,
0059,39902,28374,405879,1716908,556071,88421,986762,18122,149501,97741,1384936,51431,31463,32196,108320,800293,1379340,1788299,94567,441791,91626,1723081,148585,658770,1372258,1179497,1141181,797664,1634812,654018,1726526,555265,331623,401954,986763,1788435,207780,95692,-1,95692,316746,400865,990868,1274130,316746,400865,990868,227623,399891,190837,795511,441782,1379201,1718933,179030,,,,,,,,,,,,,
0060,15048,26810,354859,1665888,505051,78775,935742,38124,98482,140863,1333916,13327,22991,21585,98675,864629,1328320,1831421,84922,484913,134748,1672061,97566,607750,1321238,1128477,1184303,862048,1583792,602998,1675507,504245,280603,350934,935743,1831557,156760,138814,-1,138814,356022,349845,939848,1338466,356022,349845,939848,249161,348871,201159,859847,484904,1328181,1667913,183342,,,,,,,,,,,,,
0061,37719,26190,403695,1714724,553888,86237,984578,15939,147318,94144,1382752,49248,29280,30012,106136,796696,1377156,1784703,92384,438195,88030,1720898,146402,656587,1370074,1177314,1137584,794067,1632629,651835,1724343,553081,329439,399771,984580,1784838,205597,92095,-1,92095,309304,398682,988685,1270533,309304,398682,988685,224135,397708,187348,791914,438185,1377018,1716749,178670,,,,,,,,,,,,,
0062,18780,14121,378736,1689765,528929,59319,959619,23889,122359,126628,1357793,25229,8028,8483,79218,829180,1352197,1817186,65466,470678,120513,1695938,121443,631627,1345115,1152355,1170068,826551,1607669,626875,1699384,528122,304480,374811,959620,1817322,180637,124579,-1,124579,341787,373722,963726,1303017,341787,373722,963726,256618,372748,219831,824397,470669,1352058,1691790,181919,,,,,,,,,,,,,
0063,1234769,1223240,1018840,1230937,841016,1283287,773091,1212989,1241914,1108163,899661,1246298,1226330,1227062,1303187,481455,893428,763597,1289434,762433,1115863,1237110,1252320,751231,886296,923590,116479,476544,1148841,737907,1240555,843817,1125355,1023126,771970,763733,1182687,1109455,-1,1109455,1104407,1024869,775060,758277,1104407,1024869,775060,1123564,1024081,1108634,478854,762442,893290,1232962,76560,,,,,,,,,,,,,
